Row,GAGE1,C1orf173,TCP11,FLJ45557,MED18,C14orf109,HSD11B1,GRTP1,C1orf213,MS4A8B,MRPL40,CACNB2,CNTN3,PRAMEF2,TMED4,MSH5,ARIH1,C6orf32,POLRMT,CASC1,AP2A2,ETS2,SPACA5,ABHD3,CDC16,GPR3,PLA2G7,GPI,APOA2,AMY2B,GATA1,MSTO1,LYN,PLCB4,CTTNBP2,USP52,GRHPR,MTUS1,PPWD1,SUPT5H,FBXW7,HGFAC,ERN2,CNR2,FOXC1,RNF130,RAB8A,YARS2,XKRX,IL1F10,SNCAIP,SPARCL1,BCL2,C21orf82,SMC1B,C9orf70,LOC441376,OTUB2,RNH1,C1orf178,LILRB4,PARL,CBL,LRFN5,FAM120B,TAGLN3,ZNF652,PTGES3,SAMD13,ARMC1,VMO1,ETNK1,SELL,TUBB3,CDK3,GFPT2,GATAD2A,PCSK1N,LOC441177,SFTPD,NINJ1,DNTTIP2,TCTN2,DEPDC1,ADORA1,KRTAP9-3,NAALAD2,QPRT,CLIC1,OSTN,MDM2,AGA,MGC72080,FGF12,DCUN1D2,KCNS1,DHTKD1,ZDHHC15,RFTN2,DCTN1,CDK2,THOC4,PGBD5,C5orf20,MEF2D,MYO1C,PRRX2,GPR15,GPR65,PAIP1,FGF5,CLSPN,FCER1G,RAB28,COX4I1,ZKSCAN3,COMMD1,CD69,PRAMEF16,OR4C13,ITGA8,SLA,HIST1H3B,CACNA2D3,ZNF74,C11orf54,KLF7,RGS18,GGTA1,AQP9,TRAM1L1,SDHD,ZNF467,BCMO1,SLC44A2,FUBP3,STK25,PIP3-E,MORF4,SLC22A2,C11orf10,HDAC1,AMIGO2,SYMPK,COL1A2,C6orf142,MRPL47,HLA-DRA,C20orf26,LOC552889,HSD17B6,SCGB2A2,KIAA0226,PNLIPRP3,BDNF,SPTLC2,OR11L1,IRAK3,P2RY12,GALNT12,ZNF235,MFAP5,CD300A,SLC36A2,SMC5,ATCAY,AGRN,AQP5,WDR46,KDR,OMG,IFNA5,HOPX,TMEM81,ACTR1A,C9orf123,ABTB2,IRF8,MS4A7,SLAMF8,RP11-217H1.1,SEPT4,MCAT,GLRX3,MAPK14,ZNF816A,TSPO,ZNF787,LRAT,OSGEPL1,C7orf55,GRID2,RBM9,DYNC1I2,C14orf49,CHAF1B,NCLN,EGR2,HDC,PRAM1
TCGA.AA.3672.01A,-0.16117,-0.680236,-0.485383,0.04844,-0.190854,0.545458,0.268378,-0.564496,1.008538,0.623991,0.569424,-0.984773,-0.30534,0.000424,0.140242,0.812036,1.906383,0.424477,-1.049961,0.262198,-0.862982,-0.325659,-0.130319,-0.5031,-1.591836,0.036569,0.898975,0.788207,-0.036774,0.349124,-0.037897,0.614618,1.465323,-0.759387,-0.107645,2.070849,0.428563,1.555092,0.778783,0.179288,0.590046,-0.343434,-0.427817,-0.368168,0.403222,-0.212927,1.582395,1.924902,1.654741,-0.396275,-0.733897,0.502924,0.284411,-0.079176,-0.462206,-0.226228,-0.785711,0.221108,-0.067616,-0.100873,1.274014,0.565893,0.153707,-0.844224,0.504506,0.02302,-0.322973,1.786401,-2.450439,0.087246,-0.177566,1.557472,0.399387,-0.44872,0.821213,0.15301,0.021534,0.470744,-0.39757,-0.219069,-0.618633,0.1818,1.881686,0.907378,-0.575501,1.691121,-0.151031,-1.871943,-1.566619,0.291194,0.707814,-1.871125,-0.27997,-1.215585,0.039816,-0.847436,-0.941758,-0.687607,-1.027213,-0.173851,2.187805,1.890897,0.109391,0.471721,-1.284174,-0.705668,1.113683,1.582674,0.906426,-0.51699,-0.168327,0.979469,0.360048,0.541102,0.491766,0.557144,0.392871,0.785671,-0.044448,0.000995,-1.085012,1.030694,0.288842,-0.643609,1.382191,-3.284639,0.01923,0.357078,0.142265,0.921692,-1.348824,0.807823,-0.068032,0.819883,-2.600434,0.809416,0.530636,0.090149,0.229349,-0.706455,0.159346,0.27344,-1.007877,0.272625,-0.464866,-0.317867,-0.439178,1.02368,0.013285,0.237522,-0.051671,0.402425,-0.009329,0.764785,-0.550959,-0.445133,-0.893317,0.147965,0.864392,-0.643856,0.653062,0.29169,1.456511,-0.104093,0.547506,0.418176,0.063763,-0.20931,-0.686461,0.030222,-0.401091,-0.115938,-0.149062,0.201538,0.700638,-0.835994,-0.210994,0.925035,0.546244,0.580512,-0.44217,-0.42252,0.747602,-0.54952,0.110883,-0.059648,-1.115008,0.368415,-0.343152,-0.106511,-0.321349,0.682371,0.424816,-0.762647,-0.101552,1.885614,0.412134,0.620087,-0.727569,0.34798
TCGA.AA.3844.01A,-1.160157,0.345092,2.24689,-0.743121,-0.80216,0.97522,-0.235039,0.417351,0.830949,0.942358,0.464357,0.256609,-0.249967,-1.284183,-0.636863,0.305886,-0.846198,-0.901466,-0.87601,-0.364365,-0.100092,-0.062976,-0.22825,-0.790853,-0.018412,0.863461,-0.209448,-0.804623,0.005867,1.373068,-0.039355,-0.425519,-0.88553,0.975447,1.323334,0.615017,1.646588,0.255511,0.672169,-1.296516,-0.08822,-0.633811,0.682183,-0.269777,-1.409937,1.559088,0.591654,1.403887,1.293654,1.488232,0.23821,-0.447287,-0.172849,-1.59304,-0.80182,-0.082826,0.502733,1.318686,0.01881,1.882359,-0.510837,-0.498264,-0.836504,-0.820366,-0.536504,0.02717,-0.389322,-0.195872,-0.417332,-0.702945,-0.57149,1.64049,0.130083,0.640872,-1.276203,-0.880809,-0.182685,-0.66624,-0.510177,-1.055763,0.571595,-0.182051,-0.415337,1.077341,-1.198179,-1.047007,-0.763553,0.836304,0.115458,0.950998,-1.023414,0.844497,1.34367,-0.412989,-0.020919,-1.693466,0.458091,-0.937587,0.451541,-0.885231,1.435096,0.34712,0.249754,0.150242,-1.272285,-0.945513,-0.315506,-0.210587,0.080152,1.117626,-0.391429,0.126733,-0.30208,0.202862,2.720339,-1.374109,0.344612,0.368189,-0.462156,0.193655,0.416101,-0.181956,-0.458288,-0.968802,-0.259625,-0.741821,0.612005,-0.117202,0.048602,0.115717,-0.445497,1.003425,-0.38687,1.213766,-0.600611,1.533496,-0.312954,0.147343,-0.094153,0.389484,-0.509639,0.731777,-0.685382,-0.898636,-0.994396,0.08019,-0.033007,0.216674,0.217698,0.573072,0.119693,-0.653127,-1.563039,-0.012264,-0.033881,-0.259966,-0.031319,0.17439,-0.328904,-0.18357,-0.200348,-0.010848,-0.915237,0.989771,1.072077,-1.451483,-1.09349,-0.080928,-1.335869,1.205713,-0.087875,1.546686,-0.186541,-0.399501,-0.124988,1.67987,0.250783,0.496598,0.072602,-0.152902,0.677032,0.650866,0.28632,1.222856,-1.227632,-0.13479,0.432541,-0.231217,-1.044603,-0.073325,1.131524,-1.710066,-0.886271,-0.521783,-0.442446,-0.978721,-0.671241,-0.455322,0.319551,-0.639451
TCGA.AY.4071.01A,-0.544817,0.814683,-1.250557,1.62132,-0.595944,0.325136,0.430032,-0.091255,-1.330638,0.969808,1.422621,-0.70891,2.404943,2.145852,0.785799,-0.812749,1.357941,0.184884,-0.58676,-0.821646,-0.385182,0.06457,0.896855,0.995788,0.179865,0.013862,0.70677,-0.641315,-0.73318,0.880542,-1.547751,-2.099424,-0.831989,1.019752,0.566422,0.959653,-0.47768,0.341775,0.9777,-0.274153,0.169924,-0.39011,0.038056,1.726448,-0.067321,0.772912,-1.842725,-1.026626,-0.754089,0.832053,-0.618755,0.602038,0.087096,-0.198574,0.335872,-0.434382,-0.92039,-0.021284,0.429133,0.50553,-0.132189,-1.82721,0.419034,1.235082,-0.625037,-2.913974,-0.640431,0.299696,0.34318,-0.721264,0.642412,-0.604494,0.617626,-0.809972,-1.746247,-0.201146,0.438778,-0.8003,0.584432,0.176989,-0.722978,0.185093,-0.522506,-1.656163,0.485856,0.355337,1.34966,1.087672,1.433,0.331276,0.058337,0.314379,0.538165,-2.157367,-2.220966,0.162253,-1.101419,-0.225995,0.884456,-0.627586,-1.534931,-2.107876,-0.195972,2.375389,1.570274,0.702307,-0.209304,-0.391194,0.192147,0.74644,-1.35114,-2.287686,0.571209,-1.050934,-0.264194,-2.122224,0.406825,0.639893,-2.241078,1.197055,1.776558,0.07759,-0.588406,-0.694086,-1.005122,0.907608,0.466028,1.809514,1.59343,-0.706159,-0.31747,-0.712999,-0.606482,0.022384,-0.247954,-2.218765,-1.529779,0.014262,-0.714052,0.154696,0.665111,0.626091,-0.117452,0.010073,-0.036796,-2.598411,-0.084398,1.142746,-0.55357,-1.020611,1.348015,-2.734884,1.103056,0.757886,0.513721,-1.095344,-0.155696,0.114801,0.090945,-0.705826,0.629157,-0.04209,0.602992,0.579682,-2.316691,-1.4007,-1.127571,-0.761688,-0.490607,-0.167695,-2.366443,0.089043,1.513631,-1.620481,0.000276,0.494508,-0.373573,-0.232005,1.544679,0.606187,2.282658,-0.443001,-0.400027,1.205618,0.056561,0.312747,1.115712,-1.164662,-0.543567,-1.065942,0.084507,-1.485869,-1.075062,1.112621,-2.20078,-1.422446,0.063631,1.244092,0.147769,0.679522
TCGA.AA.3524.01A,1.085308,0.510855,-0.152278,-0.506823,-0.380227,0.99426,0.302958,2.370837,1.746178,-0.319947,2.765973,-0.637481,-0.93538,0.997243,1.548825,0.539213,0.277913,-0.922958,0.129036,-0.246747,-1.219343,0.861188,-1.987823,0.676273,1.081173,0.538003,-0.446191,-1.476945,0.546454,-1.239095,0.336377,-0.287141,0.662791,-2.176149,-0.124132,-0.989558,1.312537,-0.870417,-0.265173,-2.228843,-1.699325,-0.44621,-0.43776,-0.695435,-1.498808,0.677646,-0.417274,1.385232,-0.539232,1.174195,0.507081,-1.07167,-0.069342,0.433168,0.376579,-1.087053,-0.29615,0.491329,-2.334109,0.669993,-0.490778,1.909946,-1.970896,0.891792,-2.430389,0.772253,-2.079285,-0.127853,1.638947,0.395583,-0.376618,0.041427,-0.214835,0.287591,-2.416721,-0.474696,-0.574058,-0.781962,1.044797,0.790364,-0.774578,0.28662,0.355712,1.32009,1.647626,-1.006236,1.338552,0.628255,0.87316,0.577931,-0.856246,1.889932,2.252318,0.644759,0.576572,0.605378,-0.530008,0.860998,0.304042,-2.526292,0.793501,0.746737,-1.530373,-1.343916,-0.582181,-3.26536,0.814498,-0.060274,-1.056293,0.508043,0.622564,-0.589553,-0.384981,0.646295,-0.270709,1.467828,0.760623,0.588316,-1.351501,-0.870769,-0.801668,-0.711382,0.512562,0.151305,-0.686777,0.646671,-0.6068,-0.502185,-0.251587,-0.381515,-0.385661,2.085678,-0.909878,0.52676,-0.573955,-0.818902,-0.766736,0.183466,0.075553,0.512562,1.121104,-0.219395,-0.760789,-1.310868,-0.402339,0.420705,0.784596,0.14811,0.177841,-0.555401,-0.011773,0.580353,-2.045677,0.379083,-0.183184,-1.139012,1.454288,-0.683625,-0.328904,0.603126,-0.1872,0.212437,0.095654,0.261411,-1.24988,1.257063,-1.99125,0.464614,0.104571,-2.674869,-0.112798,0.949343,1.295631,1.455594,-0.230452,0.890347,-0.859942,1.118091,-0.654251,-1.631867,-0.348221,-0.931285,0.458667,1.389751,2.164432,-0.51271,1.746299,-1.909659,1.388886,1.806698,1.61399,-0.121127,-1.51841,-0.304966,0.57564,0.176812,-0.688365,-0.471569,0.332692,0.686204
TCGA.AA.3526.01A,1.152259,0.313932,-0.471959,-0.222973,-0.091093,0.956724,-0.414725,0.423914,1.609287,-2.163035,0.381336,0.267393,-0.685418,1.029333,-0.181485,2.238736,0.297361,0.351329,-0.0969,0.341892,-0.629282,-0.950916,-0.030915,2.425101,0.518855,0.683071,-0.29879,-1.424573,0.288614,1.969866,1.420935,0.061109,1.966978,-0.811075,-0.258755,2.001824,0.229617,-0.746976,5.147801,0.314994,0.716312,2.237198,-0.581925,-1.118988,-0.120933,-1.773103,-2.400086,0.256589,-1.226564,-1.043563,-0.451406,-1.425845,-0.647292,0.852844,0.682749,-0.131599,0.159441,0.282183,-1.567379,-1.473744,-1.002445,-0.423572,0.279403,0.202123,0.320799,0.711392,0.02427,0.691616,0.536494,1.60876,-0.070987,-0.27279,0.103385,-1.458176,0.194704,-0.507275,-1.135522,-0.704972,1.165685,0.901809,-0.306169,-0.380165,0.533062,0.024029,0.124029,-0.555476,0.473891,-1.093895,-0.068088,-0.704678,-0.716803,0.593341,-1.376663,0.340602,0.632635,0.503439,0.763797,0.413082,-0.965955,-0.577453,-1.422051,-1.455352,-0.260515,-1.132796,-1.520873,-0.099041,-0.310754,-1.043713,-0.460985,0.695189,0.418632,-0.112808,-1.25445,-0.008564,-1.368056,0.140186,-0.489154,0.42074,0.674512,-0.288431,0.508967,0.46114,1.535458,-0.213673,-0.358737,-0.850649,-2.157462,0.047754,-0.434645,-0.37287,0.522787,-0.359647,-0.767187,-1.815929,-0.759322,-0.897098,-0.116393,0.244422,-1.663347,-0.012674,0.54727,-0.319605,1.888795,-0.656532,-0.277467,0.798004,-1.173813,-0.926709,-0.794343,0.798909,-0.310678,1.633131,-0.02217,0.64437,0.168408,1.138001,-1.195621,-0.032931,-0.688938,0.64854,0.801273,-0.603745,-0.372484,0.499784,1.260049,-0.979649,-0.704251,-0.893571,-0.708421,-1.628484,0.166815,-0.122149,-0.531416,0.013477,-2.39417,0.319478,-0.378582,-1.348577,-1.034697,-0.672977,-0.475689,-0.225624,-1.639507,-2.732473,-1.075348,1.117209,-0.967777,-1.010797,1.81777,0.796136,-0.091972,-1.330887,-1.137347,0.840615,0.387787,0.279423,-1.475573,-2.09987,-0.164818,-1.558002
TCGA.AA.3534.01A,-0.7231,0.91894,-0.701105,0.787328,-1.861527,-0.301011,-0.270255,0.74038,0.604338,0.170606,-0.051126,1.449462,0.835679,-2.749105,0.444738,0.42741,0.417941,-1.049105,-1.353207,-0.926348,-0.228872,0.739391,0.283496,-0.604059,-0.181511,-0.707067,-0.085112,-1.290676,0.457983,-0.184976,-1.006565,-2.087432,-1.42414,0.400815,0.879678,0.541618,0.280393,0.090871,0.06397,-0.956924,0.564538,-0.719533,-1.539238,0.923012,-0.885406,-0.805526,-0.985724,-0.494951,-0.420453,0.742861,2.626485,1.64643,0.389443,0.279019,-0.06561,-0.658377,-0.543129,-1.344704,-1.612177,-0.126817,-0.537229,-0.524996,0.634025,-0.153869,-0.385258,-0.256848,-0.34186,-0.171579,0.474759,-0.705827,-0.613547,0.492043,-0.696466,0.633328,-0.932237,-0.519352,-0.012595,-1.134661,0.06942,0.873947,1.04115,0.542907,-0.781419,-0.083817,-0.735939,1.334419,-0.577807,1.063125,0.304117,0.749049,-0.193481,-0.62611,0.440634,-0.735957,-0.58986,-1.389381,-0.703457,0.181123,-0.638445,3.435086,0.788732,0.025488,1.096962,1.543062,-1.667325,-0.731293,-0.821312,-0.118535,-0.146316,0.744111,-1.259566,-1.501007,0.207318,-1.155088,-0.919171,1.085491,0.361474,-1.076939,-1.110685,-0.74262,0.504222,-0.01059,-0.155238,-0.215297,-0.622139,0.477551,0.569712,-0.4291,1.168926,-0.545612,-0.722033,-0.888189,1.271087,-0.583326,0.032702,1.332256,0.02415,-0.213881,0.97476,1.966367,0.631442,0.097662,1.566507,0.464018,-0.593188,0.294332,-0.473232,0.127633,-0.098175,1.202851,-0.273397,0.640432,-2.377019,-0.727223,-0.996126,-1.037213,0.277894,-0.842707,1.184674,0.78549,0.02675,0.583285,-0.558073,2.026249,-0.072691,-0.709662,0.214885,-0.312683,-0.742483,1.177314,0.358514,0.864451,0.916584,0.202483,-0.64348,0.846185,-1.293484,0.598881,0.341232,-0.305756,-1.037651,0.357151,0.323222,-0.76617,2.406134,-0.561331,-2.022262,1.169096,0.364979,0.659215,0.098188,-0.339305,1.415966,0.469661,-0.244741,0.100546,-0.257378,-0.284132,0.841937,-0.440011
TCGA.AA.3538.01A,1.392979,-0.160756,-0.419667,0.663692,-0.707365,1.099252,-0.368054,0.251097,-0.462581,0.023375,0.350378,0.815591,0.279111,0.272423,0.821523,-0.159554,1.495376,-0.154234,-0.30684,-0.561402,0.129325,1.254563,-0.009562,-0.222153,1.092366,0.641443,-0.124613,-0.662987,-0.653278,-0.900462,-0.358235,-1.27285,0.141932,0.042897,0.865508,-0.648811,-0.289721,-0.780291,-1.879406,-1.283141,-0.864693,0.387222,-1.108873,0.234278,0.996822,-0.419286,-0.714917,0.263252,-0.135913,-0.85973,-0.108455,-0.229111,-0.120888,0.769978,-0.042762,-0.094915,-0.236204,0.428204,0.22298,-0.282486,-0.971829,0.485305,0.171908,0.631235,0.092824,0.076043,-0.584979,-0.540826,0.709285,1.076272,-0.029714,-0.720277,-0.444362,-0.702507,-0.908961,0.439199,-0.162869,0.775384,1.249036,0.445313,0.11064,0.258083,-0.030287,0.121205,-0.480136,-0.60497,0.406206,0.917406,0.38183,-0.177451,-1.564617,0.376719,1.460847,0.323045,-0.1481,0.773544,-0.140385,-0.847629,0.338265,-1.391638,-0.226303,0.062238,1.867136,-0.507879,-0.209838,-1.106753,1.05583,-0.609089,-0.079432,1.29623,-0.918645,-1.2231,-0.464658,1.162699,-0.403398,0.081481,-0.033315,-0.196238,0.002971,-0.046952,0.419151,-0.395517,-0.489768,0.126135,-0.534338,0.428015,0.543621,-0.473106,0.209471,0.294325,-0.049289,0.165526,-0.545574,-0.619967,-0.55312,-0.412589,-0.07529,0.13455,0.576422,0.064936,0.132997,0.128328,0.259998,-0.174777,0.662436,-0.262147,-0.054678,-0.287201,-0.692486,-1.116788,0.710962,0.56048,-0.58883,-1.474168,-0.246089,0.414915,-0.651474,-0.111319,-0.799106,0.43661,-0.549361,1.057638,-0.363016,0.938565,-0.622398,-0.412355,-0.842667,-0.101102,0.403505,0.187071,0.675822,-0.610791,1.35311,0.670273,-0.108631,0.297128,0.776771,0.715272,-0.357982,-0.560651,0.434527,1.170802,0.460289,0.112967,1.186334,-0.986768,0.060822,-0.769596,1.38139,0.789007,0.665017,0.024827,-0.826307,0.031297,0.461352,-0.455034,-0.770607,0.445836,-0.075642,-0.665665
TCGA.AA.3543.01A,-0.447024,1.254979,-0.940397,0.140618,-0.091093,0.087407,0.37742,1.317165,0.418425,1.109947,-0.534714,-1.96507,-0.13247,-0.8008,-0.566886,-1.038785,0.205306,0.267923,-0.868679,-0.812302,0.132384,-0.63498,-0.787122,0.438054,-0.588192,0.668565,0.947225,0.893983,-0.243604,0.498324,-0.284984,-0.718418,0.830398,-0.64981,-0.099333,-0.721238,0.245652,1.664209,0.495434,-0.492392,0.497961,-0.793586,0.637442,-0.374481,0.595239,-0.38398,0.8771,0.058044,-0.213515,-0.536229,-0.59358,-0.243226,0.885363,-0.295697,-0.834125,0.566649,-0.681405,0.181857,0.272933,0.188477,0.377014,0.318625,-0.789013,-0.373918,-0.754149,-0.959513,-0.126589,0.672182,-0.442654,-0.253613,0.241174,0.788037,0.668155,-0.846268,0.772075,0.031962,-0.949468,0.02825,-0.71828,-0.870593,0.07452,0.589554,-0.730205,0.779334,0.663683,-0.733542,0.015598,-1.334433,1.101186,-0.636847,-0.292731,-0.164611,-1.773802,-1.015057,-0.092556,-0.185868,-0.866012,-0.76113,1.658226,0.866249,0.423418,0.939167,-0.33512,1.703513,-0.013128,-0.408812,2.424273,0.185585,1.305775,-0.459526,-0.895975,0.164098,0.801229,-0.338281,0.657465,-0.964677,-0.079248,0.61245,0.277724,-0.766157,0.175801,1.259756,0.426935,-1.007609,-0.7498,1.182304,-1.603739,0.457184,1.630412,0.85207,-1.06191,1.253724,0.62712,1.567001,0.012699,-0.997526,-0.802866,-1.079314,0.528103,-1.103125,0.235467,0.542309,-0.071174,0.241544,0.368132,1.14289,-0.136717,0.847899,0.859372,-0.437852,-0.363003,-1.179517,-0.054829,-0.324588,-0.278195,0.725133,0.177702,0.151512,0.897329,1.168904,0.523975,0.099471,0.898609,-0.123957,0.30052,-0.149878,1.785293,2.984243,-0.860353,0.270301,-0.197736,-1.852065,0.022116,0.40472,-1.020995,0.433113,-0.738349,0.879184,0.974209,1.550511,-1.301714,-0.033383,0.842494,0.460468,-1.042694,0.248656,1.048568,0.52902,-0.227303,-0.910093,0.275578,-0.301688,0.126156,-2.106122,-0.078563,0.180972,0.046627,0.528958,1.257312,-0.135198
TCGA.AA.3555.01A,-0.003197,-0.503958,3.444289,0.646134,-0.560531,0.55253,0.590625,-0.597674,0.522481,1.03377,-0.685747,0.677393,-0.947707,-0.77686,-1.748935,-0.555117,1.710604,0.445603,-1.014637,-0.158259,0.682374,1.866804,2.634584,1.386392,-0.075443,-0.681837,-0.277051,1.265231,-1.838065,0.563703,-0.002547,-0.44443,1.502278,-0.360578,-1.579365,0.959653,0.324043,3.317372,-0.072696,-0.189337,0.843344,1.283038,0.937845,1.01351,1.376885,0.320626,1.476823,0.363635,-0.297979,-0.204411,-1.234704,0.230444,-0.243933,-0.179863,4.461371,0.49203,-1.537437,-1.458064,-0.093385,0.600074,0.468509,0.770705,0.459985,-0.647176,0.152584,-0.369348,-0.419106,-0.46309,0.419645,-0.849704,0.626738,-0.112092,1.629983,0.891528,1.7613,-0.057068,0.425017,-1.272041,-0.835303,-0.421384,-0.846244,-0.239674,0.719897,0.51372,1.656602,0.429295,-0.966865,-2.160011,1.027563,0.502393,-0.896766,-0.15026,-1.657326,-0.834063,0.822888,-0.478442,0.463197,0.29011,-0.332496,0.208809,2.153005,1.976261,0.18764,-0.746829,-2.472536,0.077212,-0.432866,-0.078918,0.720832,0.084052,-0.916138,0.971796,0.365062,2.416287,-0.85793,0.945501,-0.656314,0.826738,-0.803854,-4.843398,-0.774554,0.354359,-0.044428,-0.726971,0.042559,-0.847897,0.780151,0.586884,0.186643,1.143215,0.716174,-0.842409,-0.011985,0.43058,0.214392,1.890361,2.202901,-4.452244,2.55515,0.004181,-0.535257,1.796849,0.433538,0.769103,0.310143,-0.599384,-0.725231,0.164676,0.161059,0.648589,-0.178558,-0.182566,-0.919056,1.684198,-0.586849,0.254418,0.205341,1.166126,-0.319818,1.425538,-0.548166,0.72234,0.035432,-0.59973,-0.381059,-0.506208,2.41818,-0.757519,-0.059461,0.971095,-0.197116,-0.048646,1.427439,0.247845,0.837525,-0.745516,-0.006064,-0.132878,0.18112,0.879227,-1.238767,0.916187,-0.404083,-0.544427,-0.511682,-2.402311,-0.720638,-0.9091,-0.689945,0.82293,-0.819776,0.491277,1.602822,-0.699573,-2.454973,2.405604,-0.160907,-0.459089,-0.741649,-1.017768
TCGA.AA.3558.01A,-2.092947,-0.507366,-0.673632,-1.214253,-0.953097,0.9997,-0.873381,1.613943,0.568266,0.685326,-0.051126,2.446602,-1.07615,-1.475193,0.001128,0.361787,0.227348,-1.475048,0.588238,0.042077,-0.78345,1.091552,-0.8475,1.113385,1.326888,0.073151,-0.675511,-0.216922,-0.718037,0.541575,-0.184764,-2.241953,-1.113661,-0.099071,-0.088569,0.278644,1.616895,-0.069746,-0.033342,-1.377417,0.52551,-0.912519,0.475522,-1.128459,-1.209495,0.488331,-0.809178,0.573284,-0.607332,0.676038,-1.589279,-0.086173,0.950626,0.429604,0.010769,-0.193712,-0.142288,0.307667,-0.872009,0.329634,-0.904616,0.924805,-1.004573,-0.609414,-0.453134,0.651454,-0.364622,-0.772415,1.087472,0.527934,0.686036,-0.140992,-1.384868,0.125326,-1.611117,-1.53295,0.057313,-1.381597,0.517641,0.636913,-0.115825,0.087407,0.886815,0.585363,-1.518493,0.422468,0.749096,0.538971,-0.296114,0.206406,0.636288,0.237238,-0.124903,0.375257,0.601489,-0.620672,-0.379537,1.174698,-1.079916,-1.613111,0.078243,-0.187631,-2.054001,-0.661229,-1.884029,-0.776498,0.006407,-0.602098,-0.667504,0.682764,0.588259,-0.53217,-0.138428,0.076464,-0.240522,-0.242151,-0.453977,-1.878621,0.857216,-0.765286,-0.996552,-0.796806,-0.679909,-0.940383,0.354979,0.306929,-0.4569,-1.03514,0.301,0.107998,-0.215049,1.472117,-0.997094,0.340124,-0.190046,0.92326,-0.271521,-0.066381,-0.686946,-0.615911,0.094936,0.399387,-0.098651,0.319247,-1.590989,0.205471,0.068845,-0.433762,-0.214436,0.286679,-1.364366,1.58553,-1.276638,0.474411,-0.98438,0.571442,-0.28871,-1.214253,-0.452701,1.676733,0.804859,-0.495192,-0.557694,0.660023,1.140563,-1.169282,-1.245508,-1.10832,0.001491,0.011654,1.326806,-0.290896,-1.543834,-0.844611,-0.57848,1.68364,-1.810365,0.957706,0.011699,-0.727495,-1.688525,-0.186059,0.390539,-0.705053,1.342585,-0.034232,0.602019,-1.081135,0.308733,1.334971,0.156558,-2.397703,0.163682,0.929313,0.490252,0.363546,0.521629,-1.971301,0.289043,-0.915479
