Row,PTPRG11896,UBE4B9684,C11orf8216678,AATK11763,RBM463325,DUS2L20821,MAFK3029,FBXL89646,MFSD822953,PPP1R3B6052,MAPK117795,SH3BGRL21606,CARS213314,TMEM1013817,PPP2R2A430,MLPH11103,BCL619769,PRELP12374,TARS27402,ARRDC213993,CDC20B13617,MRPL402834,CEP5722578,ZGPAT14826,IFIT117808,KLHL2620801,KL21422,TMEM1406592,HIST1H2AI22092,CCDC1109098,LIPA14605,C11orf6514636,TRAF116981,OSR115498,SMCP966,PIP4K2B13668,FCRL31541,SKIL18559,CHDH13711,GP217186,GCHFR9711,SART319072,TRPM48458,TAF107912,C11orf5815523,ORC3L9369,SOX1213557,PTPRS4751,TOM14165,MED305186,C22orf324553,ESYT312761,C13orf3312015,NLRP55235,FBXO384078,CD4018321,SMARCD111371,MRPL913039,SLAMF12434,PHF21A6196,ZNF7647338,HSD3B21056,BCL920577,UBL4B3699,PRTFDC116293,NEURL38406,KRAS21787,B3GALTL16172,SYPL19569,NXT110817,C22orf267931,PDXP9894,ONECUT117059,NXN22952,IDI17433,FBXO1713258,GSG1L772,TRIM4515929,RIC8B21118,KCNS222067,B9D212359,HSPH114957,YIPF621584,FAM48A17822,ADAM2586,GGH6228,S1PR519620,PTGR27367,GRIN2B1089,C12orf12924,RGS712995,CBLL13016,FOXC217160,SEC61B5151,TPT113430,ROD15421,SFRS13A22053,LRRC318812,C7orf536376,GFM28685,KCTD207455,PAWR15781,TTC2217291,KDM4A6537,TLN16662,UBE2J220103,SDC23614,TMEM257247,IPO49808,FZD420594,PEX123070,DIRC1114,TSNAX9561,FARP222601,SLC25A2918,ARID1B8583,FEN120954,UBTF21515,GRB103265,KCNK155823,FAM120C12560,CDK5R110398,GABARAP13365,BCAS213792,SYAP118341,C3orf545566,PAPD410506,ETF114875,GK20148,OTX120223,POLD422057,BATF23712,RGS18272,SEC31B1427,BMP153786,UBAC113933,TMEM10116702,GNAT21666,ASCC314234,RPL1518230,ETV618328,CIITA20431,TACC117640,OPRM114593,PSMA113589,RPL522040,MYT11826,CRYGD15769,ILF218835,PCYT1A5077,TESC6610,CDH210766,UBC16952,STAR3396,ADIPOR115029,ADM20945,MUC1310311,FZD48734,TMEM17122064,TPH1119,NLRP124599,STK310739,ELL211253,FCRLB4371,BLOC1S14248,C14orf14719318,TOP111485,RRAD6158,ANKRD1018140,RWDD2B9470,KBTBD42754,FUS4746,CDK612229,ZGPAT14780,IGSF18140,MED1717207,FAM103A122877,UQCR5048,RGS28340,PSMA79168,MRPL469498,PEG1014486,C17orf5720463,OLFM42920,XRCC610785,PER221839,MPG17459,GPR562663,USP1317779,LSM414817,SLC16A72950,RPS6KL110154,C14orf1667358,AAMP18429,SEC24C21525,PIGS13065,WBP2NL19230,C6orf12520163,INHBA144,RDBP2762
TCGA.AA.3672.01A,-0.4791,0.289253,-0.314626,-0.88333,-0.154539,-0.559099,0.278493,-0.292195,1.587938,-0.160908,0.566877,1.961528,-0.752348,-0.021213,0.160771,-0.485463,0.056445,0.435759,-0.10725,-0.252562,0.217029,0.204833,0.04719,-0.325009,0.322743,-0.248471,1.135746,0.025133,-0.072886,-0.281867,-0.724765,0.121603,-0.069261,-0.118162,0.955588,0.409189,-0.009294,-0.407163,0.595494,0.146191,-0.484958,0.505141,0.523011,0.541562,-0.574583,-0.147614,0.367797,0.278113,-0.211475,-0.245129,0.820237,1.381506,2.545549,0.561134,-0.156345,0.993451,-0.735292,-0.155719,0.089772,-0.052861,-0.370693,0.602221,-0.10773,-0.091352,0.066517,-0.102786,0.004155,0.327221,0.17754,-0.672794,-0.711881,-0.309788,0.558698,-0.297117,-0.082083,1.726209,0.759384,-0.108485,-0.040817,0.022968,-0.424186,-0.006444,1.055956,-0.305939,0.704955,-0.312905,2.398833,-0.485695,0.591773,-0.108086,-0.414093,0.932608,1.892495,-0.136166,0.100063,-0.038917,-0.550628,-0.440865,1.42532,-0.163075,-0.71026,0.61197,-0.154294,-0.725915,-0.161802,0.194515,0.92181,1.326695,0.058221,-0.386794,0.230374,0.696935,-1.00124,-0.01504,-0.430073,0.32795,0.283068,-0.477171,-0.277056,-0.40313,0.940085,0.115527,-0.233234,-0.711736,-0.559834,-0.31728,0.301957,0.150112,0.893552,-0.156495,1.187978,-0.066182,-0.431892,0.2139,0.445546,-0.610444,-0.379778,0.747993,-0.757139,0.061136,-0.236914,-0.939369,0.085564,0.520373,-0.891101,-0.665432,-0.332709,0.452972,-0.111467,-0.021651,-0.807144,0.441836,-0.680599,0.835612,-0.270031,-0.247075,-0.299268,-0.032267,-1.00786,-1.974691,0.155496,0.593395,1.070763,-0.192712,0.400171,-0.922522,-0.01684,-0.625481,0.089929,-0.276724,-1.91494,-0.186001,-0.271135,-0.132422,1.639176,-0.561326,-0.300723,-0.038316,-0.265173,0.747875,0.678697,0.308573,1.249691,0.266056,-0.050436,-0.668853,0.51067,0.075603,1.113348,-0.469331,-0.557352,0.216853,-0.102264,-0.369419,-0.832702,0.082032,1.419732,1.120172,0.922664,0.131501
TCGA.AA.3844.01A,-0.309037,-0.590609,-0.058289,-0.648215,1.811928,-0.389809,0.141665,-0.508624,-0.178073,-0.585092,0.234994,0.476186,1.250292,0.076511,-0.460141,-0.88314,-0.388289,-0.641142,0.284661,-0.065559,-0.278493,-0.296691,-0.058087,-0.499406,0.058999,-0.333725,-1.2113,0.072707,-0.361707,0.104797,-0.336472,-0.132442,-0.894148,-0.502747,-1.352248,-0.914335,-0.705769,-0.075975,-0.202917,-0.542288,-0.461612,-0.242393,0.30718,0.985386,-0.667554,-0.066981,0.644893,-1.215377,-0.067155,0.134894,-0.180855,-0.845094,2.565975,0.206256,-0.097663,0.300773,0.020111,-0.541744,0.837556,-0.488427,-0.530309,0.648113,-0.03221,1.513065,-0.136194,-0.330231,0.262403,-0.011816,0.069372,-0.244059,-0.377061,-0.473773,-1.026853,-0.134949,-0.138439,-1.134524,-1.549262,0.279685,-0.0038,0.869095,-0.482387,0.051995,0.761099,-0.385124,0.576242,-0.27844,-0.414658,-0.314244,-0.076302,0.040058,-0.31266,0.933522,-0.899934,-0.110306,5.029314,-0.415394,-0.278519,-0.380854,-1.301647,-0.433031,-0.332493,-0.197559,-0.247532,0.368959,-0.787728,0.184128,0.220298,0.613491,0.054863,-0.005497,0.474695,-0.17236,-0.112536,0.57128,0.671822,-0.172246,0.024547,0.344378,-1.483041,-0.37462,0.861136,-0.070988,-0.020497,0.198534,-0.318024,0.108876,-0.064286,0.213936,0.728781,0.284052,-0.768187,0.397762,-1.192512,0.960457,0.002433,0.296196,-0.376058,0.686118,-0.448106,0.240456,-0.27421,-0.572726,-0.397717,0.898283,-1.050525,-0.455063,1.262326,0.83523,-0.011734,0.427496,-0.137233,0.579653,-0.343894,-0.903757,-0.161259,-0.584317,-0.893056,0.260137,0.566259,1.585273,0.500878,-0.291707,-0.77005,-0.927336,-0.463416,-0.74772,0.25735,-0.766815,-0.427748,-0.027686,0.881582,0.35242,-0.206506,-0.559124,-0.38606,-0.612956,-0.030873,0.111479,-0.174787,-0.116861,-0.250581,0.272668,-1.242335,0.712083,-0.37274,-0.666999,0.124453,-1.017688,0.020323,-0.267575,-0.24519,0.092779,0.362804,-0.357783,-0.457422,-0.561194,0.956666,-0.123191,-1.096525,0.749154
TCGA.AY.4071.01A,-0.218716,-0.427743,1.155919,-0.396989,-0.4302,0.249901,0.26188,0.425584,0.734838,0.832601,-0.590833,-0.556504,0.683038,1.524208,0.145014,-0.694538,0.740403,0.864312,0.026547,1.382549,0.947514,0.13288,0.66759,-0.070798,1.058148,0.584951,-1.229813,-0.10439,-0.36462,1.527786,0.35302,1.723335,0.50296,-0.312009,-0.517178,0.533801,-0.30046,1.043159,0.521265,0.197404,0.092733,0.072473,0.320367,-0.036811,0.722881,0.241663,0.875347,-0.872904,0.34776,0.952629,0.691879,-0.566223,1.108271,-0.123299,0.051221,0.714581,0.702772,0.476902,0.005996,1.13744,0.001122,-0.5641,1.812016,-0.210894,0.44286,0.258658,1.224672,0.092709,0.292518,-0.07612,1.186815,0.334707,-0.95293,-0.28033,-0.216596,-0.741876,0.858219,0.671883,0.091067,0.359368,4.211007,0.225256,0.065752,0.196093,0.713197,-0.284493,-0.28837,0.536206,0.237393,0.221079,0.259246,1.044978,-0.952162,0.983891,0.604983,0.482358,0.496989,0.362445,-1.358309,0.075218,1.148656,1.370507,0.30151,1.984956,-0.12059,0.697914,-1.196248,0.00456,0.52213,0.03364,0.960048,0.439279,1.086994,1.106537,0.098482,-0.177056,1.253494,0.896385,2.252734,-0.171627,-0.13009,-0.314668,0.862523,0.942838,0.363175,1.160662,2.293282,0.619955,0.481909,0.236494,0.047105,0.702294,0.152107,0.70045,0.183226,0.828539,0.114961,0.332956,-0.008937,0.346155,0.959134,-0.326534,-0.289732,0.992678,-0.07579,0.948219,-0.581681,0.487434,0.334535,0.665542,0.695696,0.632678,0.280514,-0.583327,0.195687,0.681215,-0.240253,0.463611,0.345154,0.078987,0.659063,0.320421,0.380726,-0.697674,0.365241,1.161942,1.601022,0.966924,0.451595,-0.272832,-0.427621,0.345168,0.509893,-0.271693,-0.22904,1.540827,0.109867,1.952145,-0.069882,-0.051187,0.587658,0.270376,1.254524,0.013203,0.408484,0.007554,0.274142,0.258352,1.408901,0.769772,-0.613766,-0.569689,0.088624,-0.12466,1.17712,0.586803,-0.755082,0.134796,-0.156732,0.660732
TCGA.AA.3524.01A,-0.375894,-0.295772,-1.078395,0.853398,-0.219431,-1.207821,-0.625182,-0.700785,-1.04243,-1.196297,-0.662062,-0.95867,-0.808268,-0.899681,0.019229,-0.678799,-0.985171,-0.723196,-1.194658,-1.028905,-1.035449,-0.758977,-0.543866,-0.78464,-0.790361,-0.505452,-0.880091,-1.053986,-0.450334,-0.779035,-0.348622,-0.733718,-0.393352,-0.321596,-0.469093,-0.959059,-0.527765,-0.948715,-1.077365,-0.990673,-0.685009,-1.411322,-1.177008,3.71784,-0.865899,-0.874742,-0.219113,0.068259,-1.273486,-1.093604,-0.842531,-1.032795,-1.105209,0.921864,-0.080091,1.557915,-0.935778,-0.811243,0.659918,-0.406381,-1.138102,-2.702402,-0.401589,0.184529,-0.486803,-1.079794,-1.210042,-0.924548,-0.810778,-0.748422,-0.29889,-0.939396,0.209331,-0.348007,-0.89175,-0.651817,0.790802,-0.667719,-1.041634,0.966978,3.348527,-0.716324,-0.85544,-0.264436,0.242762,-0.439775,-0.602518,-0.912792,-1.086338,1.466743,-0.777611,-0.178421,-1.009694,-0.662354,-1.048256,-0.841783,-0.872798,-0.438019,1.156166,-1.102042,-0.931613,-1.214824,-0.549272,-1.259981,-0.800749,-1.125856,0.21667,1.172457,-0.931066,-0.559606,0.137065,0.794682,-0.630845,-0.991958,1.033661,-1.254301,-0.446257,-1.037047,-0.817285,-0.395494,-0.979577,-0.422289,-0.479424,-1.021702,-0.820082,-0.656568,-0.84985,-1.188089,-0.996023,-0.86958,-0.626849,-0.765718,-0.375174,1.065315,0.07328,-1.243228,-1.079575,1.19635,-0.868331,-1.104623,-0.763846,-0.542432,-0.482128,1.117901,-0.69168,-1.229507,0.247371,0.575757,-0.388955,-1.262426,0.669588,0.632131,-1.015645,0.253178,-0.725253,-0.31968,-0.668769,-1.01527,1.502039,1.191277,0.648534,-1.103811,-0.906646,-0.878107,-0.774449,-0.793685,-0.399632,1.030458,-1.157062,-0.592507,-0.314719,-0.748769,-1.013104,-1.125267,-0.827678,-1.329779,-0.343369,-0.908976,-0.442416,0.50945,-1.19579,0.84187,-1.298365,0.514504,-0.607346,-0.616613,-1.405409,-0.233933,-0.92762,-0.990378,-0.501522,0.149783,-1.26873,-0.614702,-0.672126,-1.162258,1.434547,0.634418,-1.363374,0.921971
TCGA.AA.3526.01A,-0.472338,-0.775915,-1.010676,-0.632764,-0.187723,-1.096787,-0.82416,-1.385877,-1.395535,-1.193086,-0.702015,-1.274751,-0.810035,-1.030796,0.715558,-0.701082,-0.943726,-0.317602,-1.272906,-1.079089,-0.961876,-0.839749,-0.999485,0.363156,-1.256064,-1.184697,-1.374681,-1.162034,-0.557202,-1.391852,-0.965285,-0.723513,-0.930601,-0.603319,0.680122,-1.037336,-0.63331,-1.339339,-0.816474,-0.650691,-1.38,-1.267017,-1.111433,-0.556346,-1.222195,-1.179416,-0.78592,1.118759,-1.346873,-1.419972,-0.68239,-0.046963,-0.972076,1.008663,-0.24064,0.644054,-0.775076,-0.933836,0.516522,-1.251107,-1.250495,0.877305,-1.228935,0.935221,-0.641629,-0.776943,-1.206183,-0.818084,-0.814485,-0.6243,-0.820776,-0.378305,0.710959,-0.450087,-0.992437,-0.815864,0.778703,-1.3817,-1.096917,0.911155,-0.613063,-0.76519,-0.979981,-0.663587,0.795993,-1.028166,-0.581957,-1.060521,0.729507,1.573531,-0.554375,-1.533765,-0.915158,-1.437434,-0.851275,-1.07069,-1.03598,-0.644882,1.696762,-1.190865,-1.1783,-1.337323,-0.577053,-1.43123,-1.339603,-1.28656,1.177114,1.185411,-1.215784,-0.538237,-1.379749,0.026661,-0.716413,-1.230549,1.251995,-1.288771,-1.495207,-1.129883,-0.118973,-0.485131,-1.060697,-0.41284,-1.122702,-1.182632,-0.38954,-1.166608,-1.243489,-1.225484,-0.953551,-0.863697,-0.631112,-1.327568,-0.558331,0.244274,1.739312,-0.860393,-0.978013,1.322306,-1.114002,-1.271537,-1.063371,-0.461067,-0.377606,0.538306,-1.291542,-1.217904,0.644922,0.542765,-1.011769,-1.324246,-1.321608,-2.692181,-1.27235,0.192363,-0.773046,-0.908104,-0.192192,-1.499316,1.373735,1.135015,0.766345,-1.169042,-0.558039,-0.71542,-1.752086,-0.989123,-0.893211,0.738284,-0.995755,-0.113409,1.388051,-1.199329,-1.133004,-0.871915,-0.948934,-1.367227,-0.352481,-1.091948,-0.461912,0.260133,-1.225134,0.850477,0.120225,0.458828,-1.087306,-0.712935,-0.924352,-0.021187,-1.422996,-1.276811,-0.792248,-0.842049,-1.139599,-0.635713,-0.712342,-1.045388,1.687443,-1.224805,-0.475143,0.516491
TCGA.AA.3534.01A,-0.424204,2.155517,-1.004211,1.495616,1.415949,-1.206494,-0.290731,-0.574157,-1.159818,-1.152886,-0.644771,0.913514,-0.693241,-1.024241,0.379429,3.147915,-0.74537,-0.572175,-0.904508,-0.774423,-0.42287,-0.336618,-0.536035,-0.644879,-1.23465,4.412671,0.344442,-0.971594,1.000491,-1.023462,-0.36909,-0.786098,0.161581,-0.46496,1.007168,-1.078985,-0.632562,-1.032609,-0.869532,-0.872544,-0.989643,-1.210709,-1.151245,0.413749,-0.767443,-0.854485,-0.871491,-1.191711,-0.885643,-0.933156,-0.730034,-0.363328,-0.90917,0.961939,-0.175504,0.559663,-0.978718,-0.407745,0.697499,-1.038404,-0.642855,0.745758,-0.802245,-0.97638,-0.574184,-1.006958,-1.044271,-0.836147,-0.830284,-0.461218,0.170963,-0.351975,1.024243,-0.450888,-0.85532,-1.278302,0.794807,-0.242435,-1.308635,0.583783,-0.027731,-0.287737,1.119164,1.060255,-1.074513,-1.038617,-0.370971,4.745557,-1.98421,1.070102,-0.424382,-1.404956,2.489959,-1.33083,-0.822489,-1.016215,-0.627528,-0.154791,-0.490793,-1.098145,-0.379596,-1.159405,-0.41933,-1.127428,-0.946531,-1.18198,1.133111,0.0855,-0.979048,-0.557242,-0.987134,-0.615652,-0.679207,-1.463567,0.995827,-0.981216,-1.604062,-1.162839,-0.946913,-0.473036,1.03517,-0.429739,-0.828429,-1.184095,-0.958361,0.383948,-0.624955,-1.036261,1.332264,0.669478,-0.625722,-0.808654,0.188204,0.647552,-0.587545,-1.044399,-1.098847,1.108017,-0.702563,-1.028926,-0.923558,1.330021,-0.463379,0.828242,-0.391384,-1.102674,-0.909104,1.092795,-0.960584,-1.298201,-0.482547,0.736152,-1.081673,-0.416764,-0.723008,-0.251126,-0.544188,-1.212815,1.487806,0.443839,0.841988,0.018657,-0.351131,0.621137,-0.869434,-0.892812,-0.6632,1.005865,-1.014871,-0.093468,-0.231388,-0.951195,-1.107657,-0.811039,-0.566575,-1.082637,-0.59549,-0.744326,-0.365674,1.20907,-0.306069,0.707361,2.033846,0.845577,-0.201625,-0.216386,-1.161926,-0.307291,-1.580041,-0.421629,-1.156299,-0.639502,-0.264989,-0.603957,-0.767743,-1.132778,-0.246655,3.244091,-1.352807,0.703504
TCGA.AA.3538.01A,0.147797,0.313453,-1.100565,1.591602,-0.241139,-1.140871,-0.591901,-1.315862,-1.250148,-1.13378,-0.495844,0.630026,-0.405782,-1.298277,1.097086,-0.587628,-1.004783,-0.134158,-1.12043,-0.944759,-0.930882,0.209055,-0.572849,-0.136687,1.776563,-0.873148,-0.377491,-1.088543,-0.538748,-0.541092,-1.071288,-0.524232,-0.176751,-0.427394,-0.099009,-0.730989,-0.270123,-0.860251,-0.948649,-0.599925,-1.052799,-1.2281,-0.919674,0.028342,-0.556204,-0.764043,-0.220499,-0.52423,-1.280269,-1.08491,-0.698311,-0.833493,-0.991726,0.707606,-0.252387,-0.142767,-0.575366,-0.784123,-0.068761,-0.411975,-0.989107,-2.837797,-1.011876,0.044703,-0.167427,-0.331121,-0.895425,-0.719493,-0.861672,-0.726584,0.178065,-1.205485,-0.447745,-0.515379,-0.877244,-0.810035,-0.69967,0.354041,-1.093381,-2.7494,-0.590125,-0.74668,1.114255,-0.673681,-0.814408,-0.937133,-0.641117,-1.164737,0.71999,0.06713,-0.397204,-0.102665,-1.100623,4.312126,-1.038389,-0.725167,-0.511335,0.268619,0.7816,-0.833096,-0.685693,-1.188088,0.097661,-1.013781,-0.331756,-0.454599,-1.31594,-0.234329,-0.171236,-0.558253,-0.767127,-0.541563,-0.632334,-0.909734,0.98734,-1.096291,-0.306521,-0.986204,-0.257086,-0.454402,1.050592,-0.268724,-1.006364,-1.093916,-0.984209,-0.364617,0.019608,-0.87551,1.192026,-0.882477,0.084991,-1.094341,-0.217164,0.136893,-0.065757,-0.709252,-1.001493,0.716054,-0.891971,-0.9604,-0.862202,-0.855151,-0.426969,-3.429493,-1.116657,-1.011751,0.002066,0.345996,-1.107462,-1.155876,-0.293458,-2.610504,-1.068306,0.313275,-1.243979,-0.72016,-0.150728,-1.278297,1.303916,-0.022342,-0.178458,-1.075205,-0.600896,-0.572654,-0.882403,-1.130605,0.069714,1.137308,-0.872998,-0.414435,0.081507,-0.835789,-1.132709,-1.023255,-0.169534,-1.263195,-0.417162,-0.841524,-0.421565,1.082051,-0.889371,-1.570118,0.934624,0.40442,-0.693142,-1.035795,-1.061489,0.250143,-1.452354,-1.012188,-0.425082,-0.168963,-0.679405,-0.35312,-0.625577,-0.724392,1.413908,-0.303087,-0.528719,0.789185
TCGA.AA.3543.01A,-0.41607,-0.599956,-1.420039,-0.148098,1.713867,-0.701843,-0.395043,-0.512518,-0.995696,0.196732,-0.618445,-1.053415,-0.827515,-1.026786,0.683491,-0.8018,-0.95711,0.46605,-1.273945,-0.69465,-0.996895,-1.076292,-0.731793,-0.559164,-1.062542,-1.098755,1.312903,-0.928473,-0.416985,-0.367751,-0.953774,-0.729331,-0.960562,-0.463168,1.146392,-0.911823,0.601719,-1.156002,-0.819356,-0.279606,-1.227842,-1.212031,-0.994295,-0.488154,-0.171666,-1.00149,-0.810839,0.049436,-1.159912,-0.91849,-0.838555,1.429646,2.288793,0.922492,-0.183019,1.039476,-0.660066,-0.824712,-0.133012,-1.039672,-0.909959,0.688007,-0.268643,0.152438,-0.560951,0.140188,-1.03958,-0.830683,-0.904852,-0.819856,0.261798,-0.336006,1.346072,-0.011369,-1.428971,1.286408,0.791389,-1.247641,-0.758839,0.061251,-0.447451,-0.760674,-0.777592,-0.676003,0.696741,-0.839807,2.60453,-1.029083,-0.022324,1.261667,1.867417,-1.106215,2.724718,-0.776965,-0.81873,-1.007294,-0.991825,0.014521,0.400097,-0.597914,-0.736975,-0.467256,-0.565586,-1.102108,-1.013785,-1.041107,1.03272,0.690706,-0.914273,-0.196388,-1.717944,1.681903,-1.210854,-1.154671,0.876609,-0.940619,-1.336843,-1.123532,-0.327608,-0.445244,-0.989151,-0.389293,-0.818412,-1.116982,-0.475957,-1.221157,-1.239684,-0.865924,-0.968691,-0.152683,0.369927,-0.7159,-0.001339,0.833894,0.803796,-1.095071,-1.021359,1.274873,-0.850551,-1.293237,-0.868091,-1.212257,-0.469468,0.778485,-0.695907,-1.313587,0.89971,0.250901,-0.944432,-1.308585,-1.303979,0.571028,-1.055522,-0.45256,-0.777414,-0.506349,-0.056187,-0.686106,-1.143598,0.968236,0.718259,0.16761,0.332053,0.735269,-0.347613,-0.844567,0.002386,1.152163,-0.946307,-0.566419,0.984531,-0.47396,-0.845227,-1.168192,2.220391,-0.516078,-0.422728,-1.128358,-0.459973,-0.88285,-1.17266,0.89258,1.425591,0.718391,-0.390673,-0.543909,0.177026,0.630419,-1.387536,-1.145082,1.989335,-0.820681,-0.992095,-0.626787,-0.48467,-1.160471,-0.567203,-0.97657,1.249381,0.953374
TCGA.AA.3555.01A,-0.64694,1.555419,-1.176718,2.031062,-0.426214,-1.22346,0.085143,-1.126593,-1.129681,-1.219216,0.663829,0.583338,-1.351563,-1.049114,1.135292,-0.831116,-1.05865,0.502753,-1.254808,-0.345262,-1.136034,-0.481764,-0.115362,3.103801,-1.132884,-1.188175,-1.187911,-0.920792,-0.390925,-1.458212,-0.979432,-0.691018,3.82382,1.865849,0.934148,-1.148229,-0.484488,-0.978084,-1.002134,-0.21119,-0.745354,-1.353889,-1.094732,2.569783,-0.73172,0.161465,-0.946511,-0.45302,-0.871996,-0.734303,-0.283949,-1.04145,-0.855995,0.99509,-0.137611,1.157042,-1.165239,-0.904513,0.139998,-1.647408,-0.681704,0.701211,-0.827522,1.814309,-0.622218,0.072914,-1.048658,-0.144465,-0.830624,-0.669213,-1.27143,-1.191293,-0.37382,-0.509307,-0.907617,1.623155,0.258376,-0.988243,-1.299515,0.723854,1.193364,-0.549293,1.288961,-0.492731,0.814246,-0.499404,-0.421179,2.046743,0.944361,1.104402,-0.741442,-1.428451,-0.994073,-1.374197,-0.781787,-1.05655,-0.939047,-0.624307,1.820883,-1.048975,-0.65541,-1.171506,-0.09486,-0.797568,-0.891228,-0.480729,0.238996,1.44603,-1.027549,-0.522425,-1.189089,1.806755,-0.801017,-1.215834,0.997341,-0.605958,-1.373693,-1.013724,-0.137616,-0.43734,0.950641,-0.41572,-0.71591,-1.102895,-0.631993,-0.362282,-0.658957,-0.963699,1.125503,-0.260505,-0.15213,-0.072571,1.063541,0.112429,-0.481244,-1.109412,-0.987876,1.299216,-0.839733,-1.172327,-1.234465,2.706229,-0.457935,0.263367,-0.678465,-0.688429,0.190955,0.138381,-0.987958,-1.259512,-1.202855,0.518517,-0.958887,3.659394,-0.817366,-1.316833,-0.134374,-1.327641,1.321949,1.361125,0.526213,0.667523,-0.278905,-0.504062,-0.926964,-0.789523,-0.854938,1.159419,-0.879104,-0.544541,1.797042,-1.050459,-0.980523,-0.808789,2.3782,-1.015994,-0.516314,-1.070556,-0.442481,-0.271315,-0.811276,0.874786,-1.254267,0.582609,-0.659418,-0.679138,-1.522721,-0.009644,-1.027338,-0.960082,2.731365,-0.885641,1.508929,-0.56115,-0.057788,-1.044505,1.003792,3.970259,1.284313,1.123404
TCGA.AA.3558.01A,-0.341119,-0.05864,-0.018652,1.287805,-1.524939,-0.596895,-0.36384,-0.026614,-0.652373,-1.282855,-0.099189,-1.147663,-0.40307,-0.070143,0.488393,-0.73825,-0.707686,-0.926498,-0.580163,-0.499211,-0.38026,-0.231494,0.304435,-0.479122,0.074069,-0.635993,0.359435,-0.886149,-0.352339,-0.977302,-0.131016,-0.089436,-0.351389,-0.46973,-0.618532,-0.403629,-0.890667,-0.084754,-0.60681,0.14579,0.604623,-1.308065,-0.248874,-0.224555,-0.041385,-0.352188,-0.219752,-0.911184,-0.930797,-0.62707,-0.6796,0.692976,-0.576058,0.333305,-0.14857,0.665862,-0.868178,-0.201363,1.063636,0.55217,-0.713832,-1.776898,-0.299465,-1.277684,-0.411086,-0.804017,-1.018056,-0.099445,-0.895519,-0.536343,-1.215666,-0.362935,-0.33599,0.247923,0.87784,-1.025281,0.905071,-0.148717,-0.066634,0.832962,-0.321961,-0.319425,-0.771783,-0.510729,-2.117812,-0.906612,-0.491566,-0.388165,-1.69427,0.527634,-0.296598,-0.441516,-0.493163,-0.011613,-0.207267,-0.452188,0.382799,-0.633058,0.331809,-0.67303,-0.759147,-0.183892,-0.598641,-0.415858,-0.313551,-0.620975,0.207053,1.699883,-0.304564,-0.138441,-0.431828,-1.466456,0.557936,-0.341081,0.685807,-0.33715,-0.13861,-0.828198,0.567065,-0.344135,-0.855641,-0.358599,-0.79634,-0.327239,-0.080883,-0.476317,0.539632,-0.491852,-1.001672,-0.291396,-0.451827,-1.043516,-0.299132,1.470677,0.810504,-0.986312,-0.214628,0.19872,-0.555656,-1.012673,-0.396809,1.23403,2.303518,0.387521,-0.582613,-0.566844,0.175671,0.769847,-0.537243,-0.622963,-0.11357,0.782421,0.170046,-1.214151,-0.748371,-0.064726,-0.991325,-0.134137,1.836032,-2.032569,0.148765,-0.397617,0.186287,-0.993899,-0.74251,-0.532127,-0.401834,1.680766,-0.807257,-0.501093,-0.877015,-0.853434,-0.314952,-0.662001,0.03713,-0.343319,-0.40046,-0.864971,-0.176187,0.34486,-1.007538,-0.556601,2.004353,0.778009,0.331666,-0.404673,-1.215281,-1.013178,0.038939,-0.919027,-1.305306,-0.470119,0.451264,-0.399375,0.658756,-0.39349,-1.236382,0.406001,-1.442432,0.678171
