Row,hsa-mir-33a,hsa-mir-9-1,hsa-mir-31,hsa-mir-369,hsa-mir-361,hsa-mir-381,hsa-mir-193b,hsa-mir-9-2,hsa-mir-99b,hsa-mir-574,hsa-mir-155,hsa-mir-2110,hsa-mir-1978,hsa-let-7a-1,hsa-mir-365-2,hsa-mir-193a,hsa-mir-511-2,hsa-mir-497,hsa-mir-627,hsa-mir-1271,hsa-mir-1275,hsa-mir-1180,hsa-mir-33b,hsa-mir-423,hsa-mir-24-1,hsa-mir-1249,hsa-mir-370,hsa-mir-103-1,hsa-mir-107,hsa-mir-214,hsa-mir-199a-1,hsa-mir-326,hsa-mir-10b,hsa-let-7e,hsa-mir-376c,hsa-mir-664,hsa-mir-191,hsa-mir-940,hsa-mir-301a,hsa-mir-378,hsa-mir-1977,hsa-mir-455,hsa-mir-330,hsa-mir-17,hsa-mir-376b,hsa-mir-616,hsa-mir-92b,hsa-mir-324,hsa-mir-663,hsa-mir-200c,hsa-mir-188,hsa-mir-433,hsa-mir-1287,hsa-mir-337,hsa-mir-589,hsa-mir-125a,hsa-mir-20b,hsa-mir-125b-1,hsa-mir-382,hsa-mir-219-1,hsa-mir-148a,hsa-mir-421,hsa-mir-127,hsa-mir-320a,hsa-mir-92a-2,hsa-mir-363,hsa-mir-96,hsa-mir-502,hsa-mir-1227,hsa-mir-579,hsa-mir-195,hsa-mir-27b,hsa-mir-429,hsa-mir-99a,hsa-mir-582,hsa-mir-452,hsa-mir-708,hsa-mir-1269,hsa-mir-197,hsa-mir-639,hsa-mir-432,hsa-mir-545,hsa-mir-136,hsa-mir-192,hsa-mir-301b,hsa-mir-1277,hsa-mir-451,hsa-mir-190,hsa-mir-663b,hsa-mir-132,hsa-mir-147b,hsa-mir-28,hsa-mir-196b,hsa-mir-485,hsa-mir-744,hsa-mir-199a-2,hsa-mir-939,hsa-mir-27a,hsa-mir-511-1,hsa-mir-93,hsa-mir-15b,hsa-mir-887,hsa-mir-30e,hsa-mir-1247,hsa-mir-19b-1,hsa-mir-24-2,hsa-mir-365-1,hsa-mir-374b,hsa-mir-598,hsa-mir-18a,hsa-mir-29b-1,hsa-mir-30c-1,hsa-mir-624,hsa-mir-495,hsa-mir-671,hsa-mir-493,hsa-mir-503,hsa-mir-412,hsa-mir-450b,hsa-mir-659,hsa-mir-409,hsa-mir-103-2,hsa-mir-652,hsa-mir-16-1,hsa-mir-139,hsa-mir-29b-2,hsa-mir-551b,hsa-mir-146a,hsa-mir-542,hsa-mir-769,hsa-mir-210,hsa-mir-181a-1,hsa-let-7f-1,hsa-mir-128-1,hsa-mir-505,hsa-mir-379,hsa-mir-149,hsa-mir-23a,hsa-mir-200a,hsa-mir-509-3,hsa-mir-148b,hsa-mir-675,hsa-mir-29c,hsa-mir-183,hsa-mir-338,hsa-mir-133a-1,hsa-mir-1306,hsa-mir-19a,hsa-mir-30c-2,hsa-mir-424,hsa-mir-331,hsa-mir-592,hsa-mir-625,hsa-mir-758,hsa-mir-1226,hsa-mir-889,hsa-let-7i,hsa-mir-1259,hsa-mir-766,hsa-mir-141,hsa-let-7a-2,hsa-mir-185,hsa-mir-26a-1,hsa-mir-552,hsa-let-7c,hsa-mir-642,hsa-mir-376a-1,hsa-mir-152,hsa-mir-217,hsa-mir-877,hsa-let-7f-2,hsa-mir-181a-2,hsa-mir-215,hsa-mir-194-1,hsa-mir-134,hsa-mir-182,hsa-let-7a-3,hsa-mir-339,hsa-mir-362,hsa-mir-450a-1,hsa-mir-509-2,hsa-mir-590,hsa-mir-942,hsa-let-7d,hsa-mir-142,hsa-mir-328,hsa-mir-100,hsa-mir-653,hsa-mir-628,hsa-mir-1-2,hsa-mir-18b,hsa-let-7b,hsa-mir-30b,hsa-mir-550-2,hsa-let-7g,hsa-mir-508,hsa-mir-494,hsa-mir-126,hsa-mir-1976,hsa-mir-320b-2
TCGA.AA.3672.01A,-0.201332,-0.232384,-0.312887,-0.833944,-0.670739,-0.400796,-0.657211,-0.211584,-0.133468,0.33064,1.101918,0.781583,-0.205892,-0.207487,-0.553299,-0.138987,1.866423,-0.509593,0.070482,-1.571202,-0.854717,2.586403,0.715536,0.523319,-0.53753,-0.346666,-0.516045,-0.481846,0.897108,-0.737242,-0.777013,1.703314,-0.724658,-0.514215,-0.981203,-1.048818,0.057023,1.967679,1.085935,0.235541,-0.341437,0.436578,4.82232,-0.522574,-0.852967,0.543588,1.996323,1.58175,0.27691,0.76843,0.062572,-0.987044,4.68194,-0.738367,2.54325,-0.556672,-0.284982,-0.420945,-0.479653,0.201101,-1.245342,0.129243,-0.800155,-0.423584,-0.807178,0.012892,-0.48068,0.529517,0.371448,0.477999,-0.029487,-0.437277,-0.427866,-0.212883,0.767399,-1.093038,-0.857024,-0.429913,0.844214,1.89565,-0.700835,-1.155582,-1.152109,0.156653,2.759509,-1.239269,-0.745988,-1.222214,0.293657,1.144413,-0.656694,0.086811,-0.505301,-0.672254,2.488026,-0.781276,2.086444,0.328487,2.073625,-0.417133,1.926741,-1.437028,-0.598753,0.364242,-0.691571,0.020524,-0.468992,-0.646697,1.927562,0.603336,-0.972338,0.537583,0.699953,-0.330894,-0.215401,-0.331334,1.125241,-0.026952,-1.077887,-0.838632,-0.792018,0.039189,2.951903,0.800868,1.377663,-0.976619,-0.67827,1.72652,-1.063759,-0.452504,2.617428,-0.284755,0.087513,1.468766,0.978903,-0.477545,-0.329242,-0.094465,0.56996,-0.130197,1.903981,0.698529,0.120727,-0.020964,-0.906446,1.116487,2.380433,-1.077888,-0.750767,0.147534,4.012888,-0.712926,2.425503,-1.184051,0.316354,-0.371538,0.69529,-0.534898,2.804711,1.251154,-0.056331,0.247731,2.784959,-0.646403,-0.334251,-0.297604,-0.166165,-0.117898,-1.281152,2.329077,-0.341813,-0.533453,-0.273524,-0.333309,-0.62536,-0.609564,-0.199227,-0.446804,-0.589819,-1.036729,-0.091682,-0.989998,0.601754,1.61701,-0.230521,1.004824,-0.536115,-0.285811,4.709861,-0.224872,0.577498,0.400047,-0.836179,4.263891,-0.257689,-0.115085,-0.93299,-0.452298,1.594175,0.037726
TCGA.AA.3844.01A,-0.008117,-0.262262,0.836757,-0.153587,0.376379,1.371655,-0.610765,-0.246331,-0.396602,-0.89457,-0.276213,1.51093,0.673108,-0.149026,-0.037777,0.331429,0.844383,-1.146127,-0.705079,-0.140036,0.271971,-0.789073,0.291488,-1.448615,0.802637,-1.083569,-0.356907,-1.406195,-1.011211,-0.183013,-0.434207,-0.541157,-0.704341,-0.326692,0.299794,-0.679565,-0.602675,-1.054445,-0.607443,0.130035,1.786398,-0.170608,-0.760305,-0.88535,-0.08861,-0.091625,-0.136555,-0.702941,1.667888,-0.39269,-0.270575,-0.346243,0.186507,0.026958,0.278685,1.573307,-0.351159,-1.139517,0.418282,-0.394814,0.126828,2.003198,0.293048,-0.403529,-0.670285,0.425163,-0.320768,0.79167,-1.173841,0.103265,0.707292,0.270614,-0.489745,-0.864204,0.643634,0.112536,-0.485679,0.054293,-0.640276,1.230829,-0.07414,0.360411,0.058267,0.356709,-1.228053,-0.184565,2.820182,-1.131196,0.142825,-0.423778,1.506359,-0.40431,-0.107022,0.096311,-0.591771,-0.345096,-0.025202,0.805969,0.565945,-1.132135,1.626979,-0.953592,-0.142884,0.664111,-0.510259,-0.317299,-0.376648,1.486735,0.0565,-0.904798,-0.52873,1.551425,-0.478629,-0.029204,0.552969,-0.332383,-0.764703,2.469852,-0.497355,1.077234,1.636872,1.70845,-0.080152,1.758404,-0.264441,-0.433022,-0.283606,0.328341,0.210568,0.813422,-0.944724,0.712885,0.135476,-0.138408,-0.565389,0.953056,-0.490146,0.529296,-0.315816,-0.10134,-0.491039,-0.453922,0.398557,-1.104235,-0.907442,-0.372804,-0.944104,-0.667671,-1.29982,0.203346,0.170551,0.30297,-0.393627,-0.037815,-0.722476,1.911283,-1.19345,-0.102082,1.281743,1.789669,-0.284483,-0.668051,0.953966,1.941208,-0.838576,-0.588642,-0.045626,0.500443,-0.499711,-0.310263,-0.007734,3.28493,-0.132369,0.619721,0.279445,-0.877479,-0.165164,0.561075,0.378584,-0.755306,-0.087958,0.681653,-0.457615,-0.719671,0.760417,-0.929175,-1.038731,-0.396688,-0.636479,-0.384838,-0.53215,-0.501335,0.611733,1.044711,-0.795933,-0.109968,0.553937,1.106967,-0.967993,0.213274
TCGA.AY.4071.01A,-0.430349,-0.232985,-0.485413,-0.113871,3.359348,-0.527843,-0.530595,-0.229338,-1.054272,-0.647824,0.731165,0.048534,-0.618745,-0.469798,-0.222198,-1.073908,-0.076839,0.799789,0.640454,-0.425082,-0.792059,-0.834926,-0.501485,0.160171,0.545313,-0.076095,-0.430035,2.083411,1.546968,-0.321138,-0.970357,-0.614666,-0.997507,-0.444537,-0.284631,1.13715,0.297697,-0.473722,-0.525604,1.251355,0.056903,-0.968327,-0.680091,-0.40705,-0.342867,-0.532849,-0.261999,-0.717761,-0.211064,0.908087,-0.363794,0.153339,-0.481875,-0.586259,0.227328,-0.805384,-0.222986,-0.779407,-0.526333,0.116641,0.524887,0.067513,-0.742916,1.799618,0.228291,-0.123316,1.907675,1.724847,-0.645672,-1.138896,0.618075,-0.315316,0.957575,-0.449022,-0.599627,0.526216,0.822841,-0.290596,-0.259655,-0.972903,-0.09211,-0.481109,-0.315022,-0.187364,-1.137191,0.637705,-0.1991,0.222252,-0.208854,-0.141363,0.126421,2.774696,0.970753,-0.155953,-1.212745,-0.983639,-1.049241,-0.446398,0.5165,0.4246,-0.276822,0.283638,1.53492,0.265249,-0.288432,0.026739,-0.280974,2.12446,0.822314,-0.501554,-0.097737,-1.02927,-0.232589,-0.041542,-0.169703,0.050454,1.077827,-0.785594,1.007174,-1.44696,-0.33592,-0.804015,1.366037,-0.155834,-0.860199,0.068044,0.156521,0.088897,0.319048,-0.674175,-0.521344,-0.197752,-0.941037,-0.648748,-0.064545,-0.566752,-0.356098,-0.442348,0.126296,-0.126467,-0.088212,-0.447424,-0.108595,-0.147992,-0.66486,0.278698,-0.586717,0.316163,2.49459,-0.127269,-0.986933,5.060389,-0.685043,0.063895,-0.63371,-0.076525,-0.101475,0.121974,-0.234165,0.234023,-0.564643,1.503168,-0.938261,4.162219,-0.493979,0.082903,-0.822114,-0.68465,1.715604,-0.469648,0.632601,-0.49757,-0.302843,1.534116,-0.749294,1.036576,-0.476773,0.297985,2.822363,-0.035077,-0.124133,-0.641363,-0.053655,-0.505914,0.076553,-1.095283,-0.195656,-0.332519,-1.113909,0.535088,-0.695895,-0.761228,0.359786,0.047075,1.818853,-0.101072,0.610607,-0.207704,0.994895,1.120517
TCGA.AA.3524.01A,-0.467144,-0.227322,-0.503154,-0.142289,-1.14829,-0.089307,-0.881471,-0.223716,-0.353866,-1.009016,-0.308258,-0.079231,-0.744985,-0.679639,-0.50351,-0.827031,-0.772702,-0.607562,0.105502,2.002956,-0.854717,-0.586617,-0.624575,1.221033,-1.397184,-0.578638,-0.486997,0.003086,-0.326986,0.120737,0.06717,-0.963265,-1.013669,-0.619282,-0.981203,-0.610695,0.047305,-1.07897,-0.328657,0.094652,-0.72476,-0.045913,-1.248996,2.431507,-0.512094,0.156276,-0.647574,-0.703674,0.077968,0.453247,-0.638522,-0.415501,-1.125161,-0.444742,-0.122529,-0.95781,0.011598,-0.869358,0.392241,-0.482374,0.171466,-0.126061,-0.024387,-0.442499,1.359875,-0.201592,-0.930948,-1.31477,-1.173841,-0.584942,-0.689941,-1.091272,-0.735077,-0.716304,-0.648118,-0.490103,-0.076041,-0.438956,-0.716011,-0.481515,-0.467992,0.872634,-0.34273,1.663182,-0.499438,-1.239269,-0.494899,0.431763,-0.357147,-0.347708,1.568113,-0.663161,-0.783605,-1.043013,-0.827034,0.056954,-0.167545,-0.831654,-0.026985,0.591541,-1.045477,-1.005842,-0.280419,1.748381,1.963325,-0.914036,-0.590572,-0.858659,0.552815,0.318565,0.273203,-0.704776,0.753173,-0.578968,-0.782221,-0.19734,-0.332632,-0.90574,-0.726894,0.136994,-0.68473,-0.681341,-0.538261,-0.601689,-0.954898,0.276211,-0.566224,-0.235782,-0.508597,0.317987,0.927574,-0.999535,-1.073945,-0.846543,-0.70663,0.035488,-0.411484,-0.345762,-0.75086,-0.091638,-1.134939,-0.286688,-0.912414,-0.745299,1.179155,-0.44979,-0.298296,1.589341,-0.09222,-0.654334,-0.804192,-0.234849,-0.205917,-0.013379,-0.722476,0.091243,-0.436972,-0.432724,-1.283543,0.19613,-0.738338,-0.491951,0.043257,-0.405806,-0.519168,-0.535317,-0.415215,-0.170835,-0.643076,-0.789412,-0.953747,-0.96122,-0.380885,0.222501,0.098815,-0.938878,-0.716892,-0.199724,-0.761626,-0.283709,-0.120715,1.148932,0.656407,-0.59869,0.006191,-0.687117,-0.576075,-0.198565,-0.027042,-0.082791,0.073229,0.003178,-0.482628,-0.480853,-0.79654,-0.114652,-0.490917,-0.613596,-0.276668,-0.745204
TCGA.AA.3526.01A,-0.623793,1.507005,-0.489881,0.163974,-0.422266,0.624686,-0.3195,1.579674,-0.038497,-1.54639,-0.87657,0.666709,-0.077305,0.283605,-0.293049,-0.010804,-0.617041,-0.114331,-0.005448,-0.170728,-0.510178,0.321796,0.276977,0.101456,-0.540073,0.301372,0.238914,0.115967,0.35557,-0.450843,0.677816,-1.016268,-0.789957,-0.688621,-0.633002,0.029407,-0.190541,-1.281357,-0.558176,0.219506,0.078803,1.582302,-0.712017,-0.110153,-0.852967,0.441671,0.760848,-0.273456,-0.355067,-0.558141,-0.338898,-0.987044,-0.473727,-0.115166,-1.227569,-0.559749,0.540177,-0.865658,2.467886,0.776957,-0.006682,-0.227298,0.443908,-0.629206,-0.407219,0.506196,-0.790542,-0.363304,-0.447784,0.380506,-0.77954,-0.608158,-1.074572,-0.946352,-0.372332,0.078132,-0.163384,-0.421961,-0.5226,1.048789,0.322239,-1.155582,-0.111306,0.676926,-0.728436,0.050838,-0.438932,-1.258235,-0.25522,-0.144762,0.178602,0.186741,0.536511,-1.043013,0.767711,0.775461,0.268746,-0.74993,-0.371052,0.527679,-1.003535,-0.254357,-0.895983,-0.441873,1.488927,0.057154,-0.410612,-0.941387,2.361703,-0.681901,-0.666879,-1.352233,-0.314566,-0.230303,-0.807411,0.001559,1.558613,1.4065,0.505493,-0.025866,0.702495,-0.647445,-0.778266,0.020842,0.327821,-0.727611,-0.980761,-0.417028,0.260251,1.259447,0.146503,0.574929,-0.154972,0.591856,-0.594835,0.46167,-0.375683,1.46164,-0.493674,-0.083089,0.744417,-0.382183,-0.896706,-0.181518,-0.881186,-0.667586,-0.212493,-0.539253,-0.145705,0.324425,-0.428679,-0.25278,-0.035301,0.354655,-0.478428,-0.193477,-0.222147,1.715969,0.271678,-0.811932,0.195325,0.653996,-0.180612,0.849861,-0.607339,-0.343136,-0.213869,0.447984,-0.65762,-0.496366,-0.269865,0.082387,-0.62765,-0.327882,1.071252,-0.523413,0.266032,-0.752762,-0.636275,-0.692494,-0.103921,-0.10687,1.22195,-0.077468,-0.238128,0.377348,-0.929727,0.323644,-0.12003,-0.781316,-0.723344,1.167906,-1.135554,-0.908684,-1.173776,-0.105269,-0.326724,-0.640034,-0.231731,-0.722238
TCGA.AA.3534.01A,-0.728229,-0.145078,-0.530265,-0.791833,-0.680612,-0.568162,-0.714643,-0.119758,1.687298,-0.7615,-0.931272,-0.556382,-0.98598,0.206752,-0.50595,-1.176166,-0.382498,0.055287,-0.563956,0.092639,-0.854717,-0.040555,-0.88412,-0.573068,0.810963,-0.352286,-0.524011,-0.251652,-1.043362,-0.65583,0.206526,-0.828088,2.336336,0.247813,-0.613485,-0.681892,-1.219421,-0.841686,1.34673,-0.832576,-0.944491,0.970956,-1.159224,0.772544,-0.606127,0.268607,-1.016765,0.114741,-0.302804,0.645236,-0.744067,0.25459,-0.444538,-0.052752,-1.392166,0.230081,0.261778,0.498999,0.329113,-0.33287,0.113574,-0.594381,-0.135952,-0.64483,-0.224806,-0.284524,-0.054692,-1.070038,0.743039,-0.336614,-0.3115,-0.662914,-0.662512,1.015907,-0.501964,0.297992,-0.258736,0.172773,-0.072608,-0.972903,-0.483625,-0.66601,0.740707,0.080543,3.256718,-1.239269,-0.925069,-0.041087,-0.249507,-0.646014,-1.11796,-0.644421,1.88238,-0.675082,0.948302,0.136369,-0.491587,-1.131245,-0.824442,1.269754,-1.398657,0.748651,0.375618,0.623685,-0.490073,-0.313276,-0.724232,-0.526465,0.511811,-0.735021,-0.413587,-0.414531,-0.738935,0.054118,-1.122572,-0.377864,-0.717791,-0.208071,-0.183115,-1.304267,-0.309106,-0.828146,-0.968412,-1.778007,3.000538,-0.517053,-0.230302,-0.603795,-0.553267,-0.109598,-0.328581,1.031402,0.137714,-0.295482,-0.993935,-0.398989,-0.315031,-0.416153,-0.577588,-0.084919,0.889424,-0.349941,-0.861508,2.839562,1.313484,0.144342,-0.446249,-0.251672,1.257165,-1.099084,0.086656,1.453573,-0.37611,-0.018925,0.437295,-0.537135,0.878023,-0.864187,-0.713176,-0.851877,0.254574,-0.783341,-0.478441,0.43496,3.036034,-0.153487,0.220363,-0.085375,2.550157,-0.015735,0.752716,0.980333,-0.794602,-0.107328,0.038087,1.648927,0.097597,-0.746196,-0.591812,-1.036729,-0.116522,0.623736,-0.047061,1.653278,-0.726075,0.671833,1.440301,0.591217,1.431641,0.432369,-0.865439,-0.591507,-0.482404,-0.985001,-0.21783,-0.109874,-0.612867,0.238759,-0.995498,-0.975585
TCGA.AA.3538.01A,-0.440849,0.159389,-0.521423,-0.196187,-0.031462,-0.317853,-0.239018,0.143111,0.59305,-1.201651,-0.915726,-0.230255,-0.509982,0.706208,-0.412347,-0.295175,-0.372387,-0.749698,-0.450709,-0.073754,-0.424921,0.306588,-0.651279,0.230908,-0.325641,-0.589956,0.305211,0.113695,-0.200805,-0.402107,0.462826,-0.712136,-0.562046,0.219137,-0.795047,0.923652,0.675102,-0.588879,0.254483,-0.857683,-0.448507,-0.081167,-0.298264,0.314645,-0.519735,-0.014456,-0.852348,0.024015,-0.284512,-0.485303,0.067116,0.130421,0.48819,-0.16123,-0.534043,-0.251367,-0.247726,-0.304478,0.000545,0.207811,-0.518108,0.905777,-0.115731,-0.841956,-0.157883,-0.570451,0.080921,0.274077,0.896377,-0.055821,-0.696342,-0.977403,-0.123309,-0.038157,-0.770382,4.554815,0.014009,-0.381411,-0.37005,-0.252342,-0.404279,-0.825123,-0.260257,0.944012,1.443008,0.14017,-0.92533,0.081175,-0.320819,-0.559015,-0.688552,-0.431155,1.641292,0.198748,0.977147,0.456125,-0.193874,-0.972333,-0.854172,0.008532,-0.412738,-0.593985,0.126824,-0.226934,-0.149663,-0.433526,0.007564,-0.367956,-0.785094,-0.09342,0.110175,-0.086343,-0.252306,-0.432708,-0.982181,-0.055224,-0.248145,-0.611413,-0.4728,-0.215133,-0.251533,-0.808563,0.284982,-0.406272,-0.286475,0.113319,-0.17027,-0.867671,-0.38388,0.039749,-0.484426,-0.393896,-0.387501,-0.307454,-0.088241,-0.471442,-0.273307,0.116568,0.122602,-0.102935,0.894469,6.891967,-0.8073,0.990334,-0.0308,-0.388757,-0.397059,0.864953,0.661415,-0.455394,-0.625947,0.000958,-0.449601,-0.39643,0.669241,-0.367704,0.715663,-0.525197,-1.363782,-0.857421,0.781485,0.973154,-0.494345,1.922515,0.343432,0.110662,-0.162389,0.220922,0.012453,-0.162737,1.068298,-1.030435,-0.34872,1.031975,-0.539249,0.734163,0.656459,-0.699966,-0.194684,-0.423278,-0.104657,0.974298,0.413672,0.102869,-0.518225,1.111658,-0.019846,-0.184457,0.185539,0.098734,-0.273284,0.521534,-0.256535,-0.494067,0.044759,-0.097462,-0.500826,-0.153028,-0.215805,-0.972575
TCGA.AA.3543.01A,-0.718578,-0.311755,0.379019,-0.38956,-0.862857,-0.387105,-0.739683,-0.330204,-0.499321,-0.549271,0.177907,-1.123569,-0.756864,-0.428161,-0.786628,-1.400888,-0.632597,-0.170873,-0.972918,-1.060239,-0.854717,-0.58617,-0.665752,-0.50749,-1.257322,-0.578273,-0.605592,0.00451,-0.093405,-0.837152,-0.164564,-1.138218,0.821247,-0.532753,-0.727121,-1.126324,-0.927272,-1.281357,-1.019217,1.169284,-0.805416,0.742364,-0.803841,0.338481,-0.852967,-0.277414,-0.336013,-0.927706,-0.355067,-0.484738,-0.638341,-0.987044,-0.511623,-0.556252,-0.616375,-0.977115,-0.199901,-1.046469,0.393836,-0.240818,-0.679068,-0.322181,-0.180226,-0.749906,-0.254484,-0.521989,-0.030884,-1.314376,-0.114234,0.524166,-1.104311,-1.321394,-0.913562,-0.92383,-0.260551,-0.74972,-0.252042,-0.438956,-0.364732,-0.972903,-0.316416,-1.155582,-0.546544,2.381169,-0.681197,-0.297878,-0.794542,-0.385883,-0.357147,0.005487,0.23577,-0.867623,-0.747986,-0.026093,-0.90146,-0.17018,0.421063,-1.237793,-0.984781,-0.320028,-0.903257,-0.574033,-0.446279,-0.416444,2.061612,-1.744806,-0.520954,-0.963524,-0.910788,-0.785882,-0.612576,-0.704308,-1.2137,-0.36243,-0.604947,0.082019,1.161688,-0.785223,-0.107702,0.138366,-0.853063,-0.890619,-0.501433,0.097989,-1.051167,-0.590985,-0.773343,1.601334,-0.174665,-0.322761,1.199649,-0.117053,-0.532387,-0.645533,-0.705913,-0.75739,-0.366569,-1.566437,0.031156,-0.077675,-0.43596,0.745394,-0.876299,-0.848265,2.047754,-0.623727,-0.726756,0.296655,-0.484084,-0.559293,-1.346841,-0.681231,0.054187,-0.173586,-0.722476,-0.679163,0.625816,-0.678626,-0.380464,-0.725553,-0.393547,-0.521807,-0.90165,-0.760207,-0.557921,2.986098,0.127673,-0.714016,-0.846232,-0.361741,-0.988289,-0.795865,0.105495,-0.027926,-0.121117,-0.89476,-0.345644,-0.843894,-0.783962,-0.785541,-0.032803,-0.15533,1.129513,-0.486479,0.424853,0.366624,-0.940644,-0.28067,-0.260269,-0.933293,-1.024408,0.310281,-0.874012,-0.8344,-0.926336,-0.097819,-0.490598,-1.187406,-0.275531,-0.855833
TCGA.AA.3555.01A,-0.588559,5.519741,-0.079845,-0.369124,-1.084743,0.207828,-0.43502,5.49043,-0.046178,-0.713643,-1.093035,-1.123569,-0.821254,-0.668376,-0.650234,1.278076,-0.98475,-0.590734,-0.549352,-0.436049,-0.854717,2.278704,-0.607592,0.439798,-0.512227,-1.083569,0.737778,0.562646,0.196674,-0.548811,-0.152899,-1.000767,1.769238,-0.856167,-0.604891,0.036419,-0.871748,-0.981392,0.103977,-0.708936,-0.353649,2.21814,-1.098199,-0.508226,-0.852967,0.033471,-0.796898,-0.736622,-0.034159,-0.394589,-0.6663,-0.139941,-1.571209,-0.357251,0.279686,-0.905608,8.766543,-0.856067,1.057703,0.22299,0.789077,-1.01532,-0.21076,-0.77288,-0.7719,3.829867,0.512759,-0.916701,1.96485,-0.317863,-1.434315,-0.961683,-0.888896,-0.765654,-0.247637,-0.045761,0.052771,-0.42365,0.844969,-0.244601,-0.473393,-1.155582,0.127731,0.242569,-0.418125,-1.239269,-0.921218,0.000482,-0.136835,-0.438148,-0.856744,-0.282584,-0.550976,-1.043013,0.996938,-0.161433,-0.471706,-1.187017,-0.310449,0.757752,-0.967985,-0.797953,-1.185159,-0.622336,0.739791,-1.131226,-0.664736,-0.814795,0.621422,-1.223786,-1.298813,-0.392615,-0.241978,-0.158561,-0.448604,-0.566322,-0.061485,-0.90574,0.298718,-0.824244,-0.445487,-0.719978,-0.891237,0.449094,0.350461,-1.246302,-0.366361,-0.45636,-0.481774,0.456476,4.914816,-0.165562,-0.549461,-0.322306,-0.866454,-0.435393,-0.358341,-0.914758,0.768664,0.045308,-0.385645,-0.304455,-1.01174,0.937823,-0.364597,-0.711468,-0.949583,-0.526632,-1.198531,-0.658504,-0.558185,-0.676336,0.761494,-0.585584,-0.194975,-0.603824,-0.059671,-0.816112,-0.024218,-1.083621,-0.616998,-0.450907,-0.746752,-0.574392,-0.31389,-0.439227,0.247888,-0.288017,0.077424,-0.472708,-1.449102,1.203083,-0.522596,-0.999341,0.509542,0.424638,-0.663579,-0.895281,-0.751634,-0.664704,-0.010803,0.728729,1.131304,0.334968,-0.311159,2.536884,-0.746582,-0.374425,1.339216,-0.858972,-1.024408,1.191821,-1.077843,-0.89563,-1.419388,-0.087763,-0.93299,-0.996327,-0.101087,-1.011043
TCGA.AA.3558.01A,-0.240225,-0.242437,-0.521413,-0.286512,-0.398809,-1.268044,0.487096,-0.258657,-0.506808,-1.042837,-0.668469,-1.123569,3.537542,-0.787185,-0.030896,-0.910691,-0.781854,-1.139081,0.710252,1.425464,0.804047,0.610016,0.056805,0.232396,-0.120303,0.398146,-1.035496,2.250605,1.10201,-0.909252,-0.470583,-0.07847,-1.044734,-0.408434,-0.236138,-0.438023,0.414982,-0.687453,0.086616,4.228695,0.849114,-0.844914,-1.011653,3.414621,-0.852967,1.720951,-0.347688,0.390649,0.492091,0.446674,-0.374053,-0.987044,-1.074934,-0.366005,-0.20009,-0.681285,0.025853,-0.353746,-1.183636,0.562045,-1.003478,-0.15185,-0.985347,0.090608,1.703996,-0.452611,-0.035374,-0.792682,0.37974,1.299461,-1.033867,-0.954526,0.343413,-0.251971,0.357865,0.340508,-0.417219,-0.120753,3.177287,0.46907,-0.92141,0.828344,-0.219466,2.510428,0.910058,1.52124,0.47576,1.183404,0.1881,-0.867693,1.405381,0.330168,-0.361543,0.075232,2.373049,-0.51204,-0.480451,-0.857349,-0.519379,1.753002,-0.544532,-1.437028,1.317074,-0.303392,1.068012,-0.219754,0.549853,-0.384426,-0.740056,-0.38363,1.334571,2.44768,-1.2137,-0.485122,-1.49879,-0.572126,-0.52459,-0.90574,-0.056503,1.953868,-0.705013,-0.774297,-0.5353,1.107991,0.187604,1.307056,-0.676647,-0.811258,-0.176338,1.805048,0.964755,0.067608,-0.166292,0.045953,0.031756,-1.238695,0.033316,2.46767,0.726184,-0.099509,-0.632234,-0.207467,-0.932018,-0.462197,3.479242,-0.711986,1.562293,1.567296,0.216914,-0.617726,-0.569973,-0.429381,1.517795,-0.829034,-0.200274,-0.690341,-0.565389,0.849214,1.945754,0.295463,-0.694612,0.397623,0.134094,-0.532293,-0.603982,0.313801,-0.55962,-0.832376,-1.280753,-0.162367,-0.199708,0.22843,0.122722,0.538726,-0.615109,-0.645383,-0.828479,-0.232766,0.068451,-1.036729,-0.012111,2.800296,5.65052,4.160352,-0.502376,1.160153,-0.232576,1.012298,0.40192,-0.732597,-1.024408,-0.79295,-0.512343,-1.070382,0.336946,-0.103327,-0.93299,-0.635771,0.747,-0.362299
